timestamp_ms,intensity
38,0.00
48,0.00
58,0.00
68,0.00
78,0.00
88,0.00
98,0.00
108,0.00
118,0.00
128,0.00
138,0.00
148,0.00
158,0.00
168,0.00
178,0.00
188,0.00
198,0.00
208,0.00
218,0.00
228,0.00
238,0.00
248,0.00
258,0.00
268,0.00
278,0.00
288,0.00
298,0.00
308,0.00
318,0.00
328,0.00
338,0.00
348,0.00
358,0.00
368,0.00
378,0.00
388,0.00
398,0.00
408,0.00
418,0.00
428,0.00
438,0.00
448,0.00
458,0.00
468,0.00
478,0.00
488,0.00
498,0.00
508,0.00
518,0.88
528,2.40
538,0.00
548,0.00
558,0.00
568,0.00
578,0.00
588,31.09
598,6.86
608,9.08
618,0.00
628,0.00
638,0.00
648,0.00
658,0.00
668,0.00
678,0.00
688,0.00
698,0.00
708,0.00
718,0.00
728,0.00
738,0.00
748,0.00
758,0.00
768,0.00
778,0.00
788,0.00
798,0.00
808,0.00
818,0.00
828,0.00
838,0.00
848,0.00
858,0.00
868,0.00
878,0.00
888,0.00
898,0.00
908,0.00
918,0.00
928,0.00
938,0.00
948,0.00
958,0.00
968,0.00
978,0.00
988,0.00
998,0.00
1008,7.95
1018,2.21
1028,0.00
1038,0.00
1048,0.00
1058,0.00
1068,0.00
1078,0.36
1088,0.00
1098,0.00
1108,0.00
1118,0.00
1128,0.00
1138,1.08
1148,0.00
1158,0.00
1168,0.00
1178,0.00
1188,0.00
1198,0.00
1208,0.00
1218,0.00
1228,0.00
1238,0.00
1248,0.00
1258,0.00
1268,0.00
1278,0.00
1288,0.00
1298,0.00
1308,0.00
1318,0.00
1328,0.00
1338,0.00
1348,0.00
1358,0.00
1368,0.00
1378,0.00
1388,0.00
1398,0.00
1408,0.00
1418,0.00
1428,0.00
1438,0.00
1448,0.00
1458,0.00
1468,0.00
1478,0.00
1488,0.00
1498,0.00
1508,3.62
1518,15.62
1528,1.08
1538,0.00
1548,0.00
1558,1.82
1568,0.00
1578,0.31
1588,0.00
1598,0.00
1608,0.00
1618,0.00
1628,0.00
1638,0.00
1648,1.46
1658,0.00
1668,0.00
1678,0.00
1688,0.00
1698,0.00
1708,0.00
1718,0.00
1728,0.00
1738,0.00
1748,0.00
1758,0.00
1768,0.00
1778,0.00
1788,0.00
1798,0.00
1808,0.00
1818,0.00
1828,0.00
1838,0.00
1848,0.00
1858,0.00
1868,0.00
1878,0.00
1888,0.00
1898,0.00
1908,0.00
1918,0.00
1928,0.00
1938,0.00
1948,0.00
1958,0.00
1968,0.00
1978,0.00
1988,0.00
1998,0.00
2008,25.50
2018,37.19
2028,28.93
2038,26.81
2048,22.35
2058,6.78
2068,5.77
2078,2.23
2088,8.78
2098,1.66
2108,0.00
2118,0.00
2128,0.00
2138,0.00
2148,0.00
2158,0.00
2168,0.00
2178,0.00
2188,0.00
2198,0.00
2208,0.00
2218,0.00
2228,0.00
2238,0.00
2248,0.00
2258,0.00
2268,0.00
2278,0.00
2288,0.00
2298,0.00
2308,0.00
2318,0.00
2328,0.00
2338,0.00
2348,0.00
2358,0.00
2368,0.00
2378,0.00
2388,0.00
2398,0.00
2408,0.00
2418,0.00
2428,0.00
2438,0.00
2448,0.00
2458,0.00
2468,0.00
2478,0.00
2488,7.07
2498,43.65
2508,42.79
2518,33.43
2528,33.05
2538,32.48
2548,25.17
2558,29.50
2568,25.49
2578,16.83
2588,12.96
2598,4.14
2608,5.69
2618,0.00
2628,0.00
2638,0.00
2648,0.00
2658,0.00
2668,0.00
2678,0.00
2688,0.00
2698,0.00
2708,0.00
2718,0.00
2728,0.00
2738,0.00
2748,0.00
2758,0.00
2768,0.00
2778,0.00
2788,0.00
2798,0.00
2808,0.00
2818,0.00
2828,0.00
2838,0.00
2848,0.00
2858,0.00
2868,0.00
2878,0.00
2888,0.00
2898,0.00
2908,0.00
2918,0.00
2928,0.00
2938,0.00
2948,0.00
2958,0.00
2968,0.00
2978,0.00
2988,0.00
2998,0.00
3008,0.00
3018,4.12
3028,0.00
3038,0.00
3048,2.07
3058,28.12
3068,19.45
3078,9.98
3088,4.37
3098,2.48
3108,0.00
3118,10.31
3128,0.00
3138,0.00
3148,0.00
3158,0.00
3168,0.00
3178,0.00
3188,0.00
3198,0.00
3208,0.00
3218,0.00
3228,0.00
3238,0.00
3248,0.00
3258,0.00
3268,0.00
3278,0.00
3288,12.14
3298,36.24
3308,22.31
3318,26.11
3328,13.25
3338,18.14
3348,10.48
3358,5.96
3368,9.11
3378,22.03
3388,7.23
3398,3.64
3408,0.00
3418,0.00
3428,0.00
3438,0.00
3448,0.00
3458,0.00
3468,0.00
3478,0.00
3488,0.00
3498,0.00
3508,0.00
3518,0.00
3528,0.00
3538,0.00
3548,0.00
3558,0.00
3568,0.00
3578,0.00
3588,0.00
3598,0.00
3608,0.00
3618,0.00
3628,0.00
3638,0.00
3648,0.00
3658,0.00
3668,0.00
3678,0.00
3688,0.00
3698,0.00
3708,0.00
3718,0.00
3728,0.00
3738,0.00
3748,0.00
3758,0.00
3768,0.00
3778,0.00
3788,0.00
3798,24.41
3808,42.54
3818,35.16
3828,38.82
3838,28.12
3848,26.88
3858,24.57
3868,20.64
3878,16.17
3888,13.88
3898,17.22
3908,18.75
3918,10.09
3928,5.60
3938,1.47
3948,0.70
3958,0.00
3968,0.00
3978,0.00
3988,0.00
3998,0.00
4008,0.00
4018,0.00
4028,0.00
4038,0.00
4048,0.00
4058,0.00
4068,0.00
4078,0.00
4088,0.00
4098,0.00
4108,0.00
4118,0.00
4128,0.00
4138,0.00
4148,0.00
4158,0.00
4168,0.00
4178,0.00
4188,0.00
4198,0.00
4208,0.00
4218,0.00
4228,0.00
4238,0.00
4248,0.00
4258,0.00
4268,0.00
4278,18.40
4288,26.95
4298,28.71
4308,24.05
4318,10.42
4328,15.62
4338,15.84
4348,26.64
4358,22.53
4368,10.34
4378,2.59
4388,0.00
4398,0.00
4408,0.00
4418,4.48
4428,0.00
4438,0.00
4448,0.00
4458,0.00
4468,0.00
4478,0.00
4488,0.00
4498,0.00
4508,0.00
4518,0.00
4528,0.00
4538,0.00
4548,0.00
4558,0.00
4568,0.00
4578,0.00
4588,0.00
4598,0.00
4608,0.00
4618,0.00
4628,0.00
4638,0.00
4648,0.00
4658,0.00
4668,0.00
4678,0.00
4688,0.00
4698,0.00
4708,0.00
4718,0.00
4728,0.00
4738,0.00
4748,0.00
4758,0.00
4768,0.00
4778,0.00
4788,4.42
4798,0.00
4808,0.00
4818,0.00
4828,0.00
4838,0.00
4848,3.45
4858,23.34
4868,40.74
4878,38.24
4888,30.46
4898,32.41
4908,27.51
4918,20.70
4928,17.64
4938,13.43
4948,13.04
4958,5.18
4968,3.45
4978,5.21
4988,0.00
4998,0.00
5008,0.00
5018,0.00
5028,0.00
5038,0.00
5048,0.00
5058,0.00
5068,0.00
5078,0.00
5088,0.00
5098,0.00
5108,0.00
5118,0.00
5128,0.00
5138,0.00
5148,0.00
5158,0.00
5168,0.00
5178,0.00
5188,0.00
5198,0.00
5208,0.00
5218,0.00
5228,0.00
5238,0.00
5248,0.00
5258,0.00
5268,0.00
5278,0.00
5288,0.00
5298,0.00
5308,4.44
5318,0.00
5328,0.00
5338,0.00
5348,0.00
5358,0.00
5368,30.43
5378,9.90
5388,11.61
5398,2.79
5408,0.00
5418,0.00
5428,0.36
5438,0.00
5448,0.00
5458,0.00
5468,0.00
5478,0.00
5488,0.00
5498,0.00
5508,0.00
5518,0.00
5528,0.00
5538,0.00
5548,0.00
5558,0.00
5568,0.00
5578,0.00
5588,0.00
5598,0.00
5608,0.00
5618,0.00
5628,0.00
5638,0.00
5648,0.00
5658,0.00
5668,0.00
5678,0.00
5688,0.00
5698,0.00
5708,0.00
5718,0.00
5728,0.00
5738,0.00
5748,0.00
5758,0.00
5768,0.00
5778,0.24
5788,7.14
5798,4.72
5808,0.00
5818,0.00
5828,0.00
5838,0.00
5848,0.00
5858,1.11
5868,0.00
5878,0.00
5888,0.00
5898,0.00
5908,0.00
5918,1.13
5928,0.00
5938,0.00
5948,0.00
5958,0.00
5968,0.00
5978,0.00
5988,0.00
5998,0.00
6008,0.00
6018,0.00
6028,0.00
6038,0.00
6048,0.00
6058,0.00
6068,0.00
6078,0.00
6088,0.00
6098,0.00
6108,0.00
6118,0.00
6128,0.00
6138,0.00
6148,0.00
6158,0.00
6168,0.00
6178,0.00
6188,0.00
6198,0.00
6208,0.00
6218,0.00
6228,0.00
6238,0.00
6248,0.00
6258,0.00
6268,0.00
6278,0.00
6288,1.86
6298,15.44
6308,0.50
6318,0.00
6328,0.00
6338,2.45
6348,0.00
6358,0.56
6368,0.00
6378,0.00
6388,0.00
6398,0.00
6408,0.00
6418,0.00
6428,1.49
6438,0.00
6448,0.00
6458,0.00
6468,0.00
6478,0.00
6488,0.00
6498,0.00
6508,0.00
6518,0.00
6528,0.00
6538,0.00
6548,0.00
6558,0.00
6568,0.00
6578,0.00
6588,0.00
6598,0.00
6608,0.00
6618,0.00
6628,0.00
6638,0.00
6648,0.00
6658,0.00
6668,0.00
6678,0.00
6688,0.00
6698,0.00
6708,0.00
6718,0.00
6728,0.00
6738,0.00
6748,0.00
6758,0.00
6768,0.00
6778,0.00
6788,21.43
6798,38.29
6808,28.17
6818,27.80
6828,23.51
6838,6.28
6848,3.62
6858,1.32
6868,6.39
6878,2.66
6888,0.60
6898,0.00
6908,0.00
6918,0.00
6928,0.00
6938,0.00
6948,0.00
6958,0.00
6968,0.00
6978,0.00
6988,0.00
6998,0.00
7008,0.00
7018,0.00
7028,0.00
7038,0.00
7048,0.00
7058,0.00
7068,0.00
7078,0.00
7088,0.00
7098,0.00
7108,0.00
7118,0.00
7128,0.00
7138,0.00
7148,0.00
7158,0.00
7168,0.00
7178,0.00
7188,0.00
7198,0.00
7208,0.00
7218,0.00
7228,0.00
7238,0.00
7248,0.00
7258,0.00
7268,4.07
7278,42.72
7288,40.55
7298,35.42
7308,31.82
7318,35.62
7328,25.77
7338,30.43
7348,19.33
7358,16.86
7368,12.40
7378,4.33
7388,5.05
7398,0.00
7408,0.53
7418,0.00
7428,0.00
7438,0.00
7448,0.00
7458,0.00
7468,0.00
7478,0.00
7488,0.00
7498,0.00
7508,0.00
7518,0.00
7528,0.00
7538,0.00
7548,0.00
7558,0.00
7568,0.00
7578,0.00
7588,0.00
7598,0.00
7608,0.00
7618,0.00
7628,0.00
7638,0.00
7648,0.00
7658,0.00
7668,0.00
7678,0.00
7688,0.00
7698,0.00
7708,0.00
7718,0.00
7728,0.00
7738,0.00
7748,0.00
7758,0.00
7768,0.00
7778,0.00
7788,0.00
7798,4.30
7808,0.00
7818,0.00
7828,1.60
7838,27.10
7848,19.42
7858,8.95
7868,3.98
7878,1.72
7888,0.00
7898,8.38
7908,0.00
7918,0.00
7928,0.00
7938,0.00
7948,0.00
7958,0.00
7968,0.00
7978,0.00
7988,0.00
7998,0.00
8008,0.00
8018,0.00
8028,0.00
8038,0.00
8048,0.00
8058,0.00
8068,8.67
8078,34.38
8088,23.72
8098,25.98
8108,12.87
8118,14.15
8128,5.60
8138,5.72
8148,7.86
8158,22.46
8168,4.91
8178,2.26
8188,0.00
8198,0.00
8208,0.00
8218,0.00
8228,0.00
8238,0.00
8248,0.00
8258,0.00
8268,0.00
8278,0.00
8288,0.00
8298,0.00
8308,0.00
8318,0.00
8328,0.00
8338,0.00
8348,0.00
8358,0.00
8368,0.00
8378,0.00
8388,0.00
8398,0.00
8408,0.00
8418,0.00
8428,0.00
8438,0.00
8448,0.00
8458,0.00
8468,0.00
8478,0.00
8488,0.00
8498,0.00
8508,0.00
8518,0.00
8528,0.00
8538,0.00
8548,0.00
8558,0.00
8568,0.00
8578,21.90
8588,44.37
8598,34.36
8608,37.22
8618,28.82
8628,27.19
8638,24.08
8648,19.76
8658,18.12
8668,10.28
8678,17.69
8688,17.82
8698,12.37
8708,4.31
8718,1.13
8728,0.00
8738,0.00
8748,0.00
8758,0.00
8768,0.00
8778,0.00
8788,0.00
8798,0.00
8808,0.00
8818,0.00
8828,0.00
8838,0.00
8848,0.00
8858,0.00
8868,0.00
8878,0.00
8888,0.00
8898,0.00
8908,0.00
8918,0.00
8928,0.00
8938,0.00
8948,0.00
8958,0.00
8968,0.00
8978,0.00
8988,0.00
8998,0.00
9008,0.00
9018,0.00
9028,0.00
9038,0.00
9048,0.00
9058,16.04
9068,28.90
9078,30.50
9088,24.27
9098,11.16
9108,17.73
9118,16.37
9128,26.65
9138,21.43
9148,12.57
9158,3.28
9168,0.00
9178,0.27
9188,0.00
9198,4.33
9208,0.00
9218,0.00
9228,0.00
9238,0.00
9248,0.00
9258,0.00
9268,0.00
9278,0.00
9288,0.00
9298,0.00
9308,0.00
9318,0.00
9328,0.00
9338,0.00
9348,0.00
9358,0.00
9368,0.00
9378,0.00
9388,0.00
9398,0.00
9408,0.00
9418,0.00
9428,0.00
9438,0.00
9448,0.00
9458,0.00
9468,0.00
9478,0.00
9488,0.00
9498,0.00
9508,0.00
9518,0.00
9528,0.00
9538,0.00
9548,0.00
9558,0.00
9568,3.96
9578,0.67
9588,0.00
9598,0.00
9608,0.00
9618,0.00
9628,3.51
9638,20.25
9648,41.01
9658,36.95
9668,32.81
9678,32.24
9688,28.30
9698,22.94
9708,18.49
9718,15.43
9728,13.47
9738,5.19
9748,3.48
9758,5.18
9768,0.75
9778,0.00
9788,0.00
9798,0.00
9808,0.00
9818,0.00
9828,0.00
9838,0.00
9848,0.00
9858,0.00
9868,1.30
9878,6.29
9888,0.00
9898,0.00
9908,0.00
9918,0.00
9928,0.00
9938,0.00
9948,0.00
9958,0.00
9968,0.00
9978,0.00
9988,0.00
9998,0.00
10008,0.00
10018,0.00
10028,0.00
10038,0.00
10048,0.00
10058,0.00
10068,0.00
10078,0.00
10088,4.64
10098,0.00
10108,0.00
10118,0.00
10128,0.00
10138,0.00
10148,29.48
10158,12.31
10168,12.18
10178,2.32
10188,0.00
10198,0.00
10208,0.55
10218,0.00
10228,0.00
10238,0.00
10248,0.00
10258,0.00
10268,0.00
10278,0.00
10288,0.00
10298,0.00
10308,0.00
10318,0.00
10328,0.00
10338,0.00
10348,0.00
10358,0.00
10368,0.00
10378,0.00
10388,0.00
10398,0.00
10408,0.00
10418,0.00
10428,0.00
10438,0.00
10448,0.00
10458,0.00
10468,0.00
10478,0.00
10488,0.00
10498,0.00
10508,0.00
10518,0.00
10528,0.00
10538,0.00
10548,0.00
10558,0.00
10568,5.30
10578,6.70
10588,0.00
10598,0.00
10608,0.00
10618,0.00
10628,0.00
10638,0.00
10648,0.00
10658,0.00
10668,0.00
10678,0.00
10688,0.00
10698,0.00
10708,0.00
10718,0.00
10728,0.00
10738,0.00
10748,0.00
10758,0.00
10768,0.00
10778,0.00
10788,0.00
10798,0.00
10808,0.00
10818,0.00
10828,0.00
10838,0.00
10848,0.00
